"","Таблица кодов ТН ВЭД ЕАЭС по импорту","","","","","",""
"58","8431100000","ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ МАШИН ИЛИ МЕХАНИЗМОМ ТОВАРНОЙ ПОЗИЦИИ 8425 (ЧАСТЬ ПОДЪЕМНОГО МЕХАНИЗМА БУРОВОЙ УСТАНОВКИ)","(ЧАСТЬ ПОДЪЕМНОГО МЕХАНИЗМА БУРОВОЙ УСТАНОВКИ)","КРЮК, КОРПУС ЗАЩЕЛКИ","0%","",""
"59","8428908000","ОБОРУДОВАНИЕ ПРОЧЕЕ ДЛЯ ПОДЪЕМА, ПЕРЕМЕЩЕНИЯ, ПОГРУЗКИ ИЛИ РАЗГРУЗКИ","РОЛЬГАНГ (ОБОРУДОВАНИЕ ДЛЯ ПЕРЕМЕЩЕНИЯ)","РОЛЬГАНГ, ПАКЕТИРОВЩИК, ВИБРОЛОТОК ","0%","",""
"60","8428392000","КОНВЕЙЕРЫ РОЛИКОВЫЕ","КОНВЕЙЕР РОЛИКОВЫЙ","РОЛЬГАНГ","0%","",""
"61","8428320000","ЭЛЕВАТОРЫ И КОНВЕЙЕРЫ НЕПРЕРЫВНОГО ДЕЙСТВИЯ ДЛЯ ТОВАРОВ ИЛИ МАТЕРИАЛОВ, КОВШОВЫЕ ПРОЧИЕ","КОНВЕЙЕР КОВШОВЫЙ","","5%","",""
"62","8428330000","НЕПРЕРЫВНОГО ДЕЙСТВИЯ ЭЛЕВАТОРЫ И КОНВЕЙЕРЫ, ЛЕНТОЧНЫЕ ПРОЧИЕ","КОНВЕЙЕР ЛЕНТОЧНЫЙ","","5%","",""
"63","8428399009","ЭЛЕВАТОРЫ И КОНВЕЙЕРЫ ПРОЧИЕ","КОНВЕЙЕР ПРОЧИЙ","","5%","",""
"64","8425110000","ТАЛИ И ПОДЪЕМНИКИ (КРОМЕ СКИПОВЫХ ПОДЪЕМНИКОВ ИЛИ ПОДЪЕМНИКОВ, ИСПОЛЬЗУЕМЫХ ДЛЯ ПОДЪЕМА ТРАНСПОРТНЫХ СРЕДСТВ) С ПРИВОДОМ ОТ ЭЛЕКТРИЧЕСКОГО ДВИГАТЕЛЯ","ЭЛЕКТРИЧЕСКАЯ ТАЛЬ","ТАЛЬ ЭЛЕКТРИЧЕСКАЯ КАНАТНАЯ ПЕРЕДВИЖНАЯ, ТАЛЬ ЭЛЕКТРИЧЕСКАЯ КАНАТНАЯ ПЕРЕДВИЖНАЯ, ЭЛЕКТРИЧЕСКАЯ ","0%","",""
"65","8424900000","ЧАСТИ МЕХАНИЧЕСКИХ УСТРОЙСТВ ДЛЯ РАЗБРЫЗГИВАНИЯ И РАСПЫЛЕНИЯ","ЧАСТИ ДРОБЕМЕТНОЙ УСТАНОВКИ","КОЛЕСО ХОДОВОЕ","0%","",""
"66","8421910009","ЧАСТИ ЦЕНТРИФУГ, ВКЛЮЧАЯ ЦЕНТРОБЕЖНЫЕ СУШИЛКИ, ПРОЧИЕ","(ЧАСТИ ЦЕНТРИФУГ, ВКЛЮЧАЯ ЦЕНТРОБЕЖНЫЕ СУШИЛКИ)","УСТРОЙСТВО СКРЕБКОВОЕ","0%","",""
"67","8419908509","ЧАСТИ МАШИН, АГРЕГАТОВ И ОБОРУДОВАНИЯ ПРОЧИЕ (ЧАСТИ СУШИЛЬНОГО ОБОРУДОВАНИЯ)","(ЧАСТИ СУШИЛЬНОГО ОБОРУДОВАНИЯ)","РОЛИК, БАНДАЖ КОЛЬЦЕВОЙ СУШИЛЬНОГО БАРАБАНА МЕЛА","0%","",""
"68","8417900000","ЧАСТИ ГОРНОВ, ПЕЧЕЙ ПРОМЫШЛЕННЫХ ИЛИ ЛАБОРАТОРНЫХ, ВКЛЮЧАЯ МУСОРОСЖИГАТЕЛЬНЫЕ ПЕЧИ, НЕЭЛЕКТРИЧЕСКИЕ","(ЧАСТИ ГАЗОВЫХ ПРОМЫШЛЕННЫХ ПЕЧЕЙ)","БАНДАЖ ОПОРНЫЙ, РОЛИК ПЕЧНОЙ, ДЕТАЛЬ ШИНЫ, СУППОРТ ЛЕВЫЙ, РЕЙКА ДЛЯ МИКСЕРА, РОЛИК УПОРНЫЙ, КРЕПЛЕНИЕ ВЕНЦА ЗУБЧАТОГО","0%","",""
"69","8414900000","ЧАСТИ  НАСОСОВ ВОЗДУШНЫХ, ВАКУУМНЫХ, ВОЗДУШНЫХ ИЛИ ГАЗОВЫХ КОМПРЕССОРОВ И ВЕНТИЛЯТОРЫ; ВЕНТИЛЯЦИОННЫХ ИЛИ РЕЦИРКУЛЯЦИОННЫХ ВЫТЯЖНЫХ КОЛПАКОВ ИЛИ ШКАФОВ С ВЕНТИЛЯТОРОМ, С ФИЛЬТРАМИ ИЛИ БЕЗ ФИЛЬТРОВ","(ЧАСТИ ВЕНТИЛЯТОРОВ, ВЕНТИЛЯЦИОННЫХ УСТАНОВОК, ВОЗДУШНЫХ НАСОСОВ)","ЭКРАН ВНУТРЕННИЙ ДЛЯ ТРУБЫ, КОЛЕСО ВЕНТИЛЯТОРА ЛЕВОГО ВРАЩЕНИЯ, ПОДСТАВКА ","0%","",""
"70","8413910008","ЧАСТИ НАСОСОВ, ПРОЧИЕ","ГИДРАВЛИЧЕСКАЯ КОРОБКА, КОЛЛЕКТОР, СИЛОВАЯ ЧАСТЬ БУРОВОГО НАСОСА (КРИВОШИПНО-ШАТУННЫЙ МЕХАНИЗМ)","КОРОБКА КЛАПАННАЯ, СИЛОВАЯ ЧАСТЬ БУРОВОГО НАСОСА, КОРОБКА ГИДРАВЛИЧЕСКАЯ, КОЛЛЕКТОР НАГНЕТАТЕЛЬНЫЙ, КОРПУС ПОМПЫ, СТЕНКА ЛЕВАЯ, ВТУЛКА ЦИЛИНДРОВАЯ БИМЕТАЛЛИЧЕСКАЯ, ГИДРАВЛИЧЕСКАЯ ЧАСТЬ 5ТИ ПЛУНЖЕРНОГО НАСОСА QWS 2500 5"" В СБОРЕ, ГИДРАВЛИЧЕСКАЯ ЧАСТЬ 3Х ПЛУНЖЕРНОГО НАСОСА TWS 2000-2250 5"" В СБОРЕ, СТАКАН, ПЕРЕДНЕЕ ФОНАРНОЕ КОЛЬЦО СН118, ДЛИННАЯ ВТУЛКА СН76, СЕДЛО, КОРПУС, ШТОК, КОЖУХ, ТРОЙНИК, КЛАПАН","0%","",""
"71","8413708100","НАСОСЫ ЦЕНТРОБЕЖНЫЕ ПРОЧИЕ, ОДНОСТУПЕНЧАТЫЕ, С ДИАМЕТРОМ ВЫПУСКНОГО ПАТРУБКА БОЛЕЕ 15 ММ","ЦЕНТРОБЕЖНЫЙ НАСОС","НАСОС ОРОШЕНИЯ 32SB180 2.2KW ","0%","",""
"72","8413200000","НАСОСЫ РУЧНЫЕ, КРОМЕ НАСОСОВ СУБПОЗИЦИИ 8413 11 ИЛИ 8413 19","РУЧНОЙ НАСОС","НАСОС ДЛЯ ОБЖИМНОГО СТАНКА SAMWAY P16H","0%","",""
"73","8412904008","ЧАСТИ ГИДРАВЛИЧЕСКИХ СИЛОВЫХ УСТАНОВОК И ДВИГАТЕЛЕЙ, ПРОЧИЕ - ТД","ЧАСТИ ГИДРОЦИЛИНДРА ЛИНЕЙНОГО ДЕЙСТВИЯ","ЧАСТИ ГОДРОЦИЛИНДРА (ШТОК, ПОРШЕНЬ, ЦИЛИНДР, КОРПУС)","7.5%","",""
"74","8412904008","ЧАСТИ ГИДРАВЛИЧЕСКИХ СИЛОВЫХ УСТАНОВОК И ДВИГАТЕЛЕЙ, ПРОЧИЕ - БСК","","ЧАСТИ ГИДРАВЛИЧЕСКИХ ДВИГАТЕЛЕЙ (ШПИНДЕЛЬНАЯ СЕКЦИЯ, КОРПУС ПРОМЕЖУТОЧНЫЙ, КОРПУС ШЛИЦЕВОЙ, РАБОЧАЯ ПАРА, РОТОР, СТАТОР, ПЕРЕВОДНИК, СЕРДЕЧНИК, КОРПУС ШПИНДЕЛЯ, АДАПТЕР ШПИНДЕЛЯ","7.5%","",""
"75","8412298109","ДВИГАТЕЛИ ГИДРАВЛИЧЕСКИЕ СИЛОВЫЕ, ПРОЧИЕ (КР. ДЛЯ ГРАЖДАНСКИХ ВОЗДУШНЫХ СУДОВ)","","ВЗД","5%","",""
"76","8412218008","СИЛОВЫЕ УСТАНОВКИ И ДВИГАТЕЛИ ГИДРАВЛИЧЕСКИЕ ЛИНЕЙНОГО ДЕЙСТВИЯ (ЦИЛИНДРЫ), ПРОЧИЕ - ТД","ГИДРАВЛИЧЕСКИЙ ЦИЛИНДР ЛИНЕЙНОГО ДЕЙСТВИЯ","ЗАЖИМНОЙ ЦИЛИНДР С ГИДРАВЛИЧЕСКИМ ЗАМКОМ, ГИДРОЦИЛИНДР ГИДРОСБИВА, ГИДРОЦИЛИНДР ПОДЪЕМА ХОЛОДИЛЬНИКА ","7%","",""
"77","8209008000","ПРОЧИЕ ПЛАСТИНЫ, БРУСКИ, НАКОНЕЧНИКИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ДЛЯ ИНСТРУМЕНТОВ, НЕ УСТАНОВЛЕННЫЕ НА НИХ, ИЗ МЕТАЛЛОКЕРАМИКИ","ЗУБОК, РЕЗЕЦ","ЗУБОК, РЕЗЕЦ, ЗУБОК ТВЕРДЫЙ СПЛАВ","5%","",""
"78","8208100000","НОЖИ И РЕЖУЩИЕ ЛЕЗВИЯ ДЛЯ МАШИН ИЛИ МЕХАНИЧЕСКИХ ПРИСПОСОБЛЕНИЙ ДЛЯ ОБРАБОТКИ МЕТАЛЛА","НОЖИ ДЛЯ ОБРАБОТКИ МЕТАЛЛА","НОЖ ДИСКОВЫХ НОЖНИЦ, ДИСК РАЗДЕЛИТЕЛЬНЫЙ","5%","",""
"79","7419800000","ИЗДЕЛИЯ ИЗ МЕДИ ПРОЧИЕ","ИЗДЕЛИЯ ИЗ МЕДИ, БРОНЗЫ","","5%","",""
"80","7415330000","ВИНТЫ, БОЛТЫ И ГАЙКИ ПРОЧИЕ ИЗДЕЛИЯ, С РЕЗЬБОЙ (БРОНЗА, МЕДЬ)","ВИНТЫ, БОЛТЫ И ГАЙКИ ПРОЧИЕ ИЗДЕЛИЯ, С РЕЗЬБОЙ (БРОНЗА, МЕДЬ)","","5%","",""
"81","7326909807","ПРОЧИЕ ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ, ПРОЧИЕ (КР. СПЕЧЕННЫХ, ШТАМПОВАННЫХ, КОВАНЫХ)","ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ (СТАЛЬ)","НАПРАВЛЯЮЩАЯ ПРУЖИНЫ, ВТУЛКА РАСПОРНАЯ","7.5%","",""
"82","7326909409","ИЗДЕЛИЯ ПРОЧИЕ ИЗ ЧЕРНЫХ МЕТАЛЛОВ, ШТАМПОВАННЫЕ","ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ (СТАЛЬ) - СПОСОБ ИЗГОТОВЛЕНИЯ ШТАМПОВКА","ХОМУТЫ, КОЖУХ ЗАЩИТНЫЙ","10%","",""
"83","7325999009","ПРОЧИЕ ИЗДЕЛИЯ ЛИТЫЕ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ","ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ ЛИТЫЕ (СТАЛЬ)","","13%","",""
"84","7320909008","ПРОЧИЕ ПРУЖИНЫ И ЛИСТЫ ДЛЯ НИХ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ","ПРУЖИНЫ СТАЛЬНЫЕ","СТОПОРНАЯ ПРУЖИНА","15%","",""
"85","7320208508","ПРОЧИЕ ВИНТОВЫЕ ПРУЖИНЫ ИЗ ЧЕРНЫХ МЕТАЛЛОВ, РАБОТАЮЩИЕ НА РАСТЯЖЕНИИ, ПРОЧИЕ","ВИНТОВЫЕ СТАЛЬНЫЕ ПРУЖИНЫ","ПРУЖИНА КАПАНА","12.5%","",""
"86","7318220008","ШАЙБЫ ПРОЧИЕ, БЕЗ РЕЗЬБЫ","ШАЙБЫ СТАЛЬНЫЕ","ШАЙБА, ШАЙБА НАЖИМНАЯ","8%","",""
"87","7318190008","ИЗДЕЛИЯ, СНАБЖЕННЫЕ РЕЗЬБОЙ ИЗ ЧЕРНЫХ МЕТАЛЛОВ ПРОЧИЕ, ПРОЧИЕ","ВИНТ СТАЛЬНОЙ, БОЛТ СТАЛЬНОЙ, СТАЛЬНЫЕ ИЗДЕЛИЯ С РЕЗЬБОЙ","ШПИЛЬКА В СБОРЕ С ДВУМЯ ГАЙКАМИ, ВИНТ ОБРАТНЫЙ","8%","",""
"88","7315900000","ЧАСТИ ЦЕПЕЙ ИЗ ЧЕРНЫХ МЕТАЛЛОВ, ПРОЧИЕ","ЗВЕНО ЦЕПИ СТАЛЬНОЕ","","15%","",""
"89","7315820000","ЦЕПИ ПРОЧИЕ, СО СВАРНЫМИ ЗВЕНЬЯМИ","ЦЕПЬ СО ЗВЕНЬЯМИ СТАЛЬНАЯ","","15%","",""
"90","7315190000","ЧАСТИ ШАРНИРНЫХ ЦЕПЕЙ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ","ЗВЕНО ШАРНИРНОЙ ЦЕПИ СТАЛЬНОЕ","","14%","",""
"91","7315120000","ЦЕПИ ШАРНИРНЫЕ ИЗ ЧЕРНЫХ МЕТАЛЛОВ, ПРОЧИЕ","ШАРНИРНАЯ ЦЕПЬ СТАЛЬНАЯ","","10%","",""
"92","7315119000","ЦЕПИ РОЛИКОВЫЕ ПРОЧИЕ","ЦЕПЬ РОЛИКОВАЯ СТАЛЬНАЯ","","15%","",""
"93","7307991000","ФИТИНГИ ПРОЧИЕ ИЗ ЧЕРНЫХ МЕТАЛЛОВ СНАБЖЕННЫЕ РЕЗЬБОЙ","ФИТИНГ СТАЛЬНОЙ","НЕМАГНИТНЫЙ ПЕРЕВОДНИК М102/102, L=2140 ММ И ДР.","10%","",""
"94","7207208000","ПОЛУФАБРИКАТЫ ИЗ ЖЕЛЕЗА ИЛИ НЕЛЕГИРОВАННОЙ СТАЛИ, СОДЕРЖАЩИЕ 0,25 МАС.% ИЛИ БОЛЕЕ УГЛЕРОДА, ПРОЧИЕ","ЗАГОТОВКА, ПОКОВКА СТАЛЬНАЯ","ЗАГОТОВКИ И ПОКОВКИ","5%","",""
"95","7207205900","ПОЛУФАБРИКАТЫ КРУГЛОГО ИЛИ МНОГОУГОЛЬНОГО ПОПЕРЕЧНОГО СЕЧЕНИЯ, КОВАНЫЕ, СОДЕРЖАЩИЕ ПО МАССЕ 0,25% И БОЛЕЕ УГЛЕРОДА","ЗАГОТОВКА, ПОКОВКА СТАЛЬНАЯ","ЗАГОТОВКИ И ПОКОВКИ","5%","",""
"96","7207198000","ПОЛУФАБРИКАТЫ ИЗ ЖЕЛЕЗА ИЛИ НЕЛЕГИРОВАННОЙ СТАЛИ, СОДЕРЖАЩИЕ МЕНЕЕ 0,25 МАС.% УГЛЕРОДА, ПРОЧИЕ (КР. КРУГЛОГО ИЛИ МНОГОУГОЛЬНОГО ПОПЕРЕЧНОГО СЕЧЕНИЯ)","ЗАГОТОВКА, ПОКОВКА СТАЛЬНАЯ","ЗАГОТОВКИ И ПОКОВКИ","5%","",""
"97","4016930005","ПРОЧИЕ ПРОКЛАДКИ, ШАЙБЫ И ПРОЧИЕ УПЛОТНИТЕЛИ ИЗ ВУЛКАНИЗИРОВАННОЙ НЕПОРИСТОЙ РЕЗИНЫ","УПЛОТНЕНИЕ, ШАЙБЫ ИЗ РЕЗИНЫ","УПЛОТНЕНИЕ ГРИБКА P-120.70.106 КТ, МАНЖЕТА Р-120.24.153 КТ","5%","",""
"98","3926909709","ИЗДЕЛИЯ ПРОЧИЕ ИЗ ПЛАСТМАСС И ИЗДЕЛИЯ ИЗ ПРОЧИХ МАТЕРИАЛОВ ТОВАРНЫХ ПОЗИЦИЙ 3901 - 3914, ПРОЧИЕ","УПЛОТНЕНИЕ, НАБИВКА ИЗ ПВХ ИЛИ СИЛИКОНА","САЛЬНИКОВАЯ НАБИВКА D111 И ДР.","6.5%","",""
